Model,MDO4024C
Firmware Version,1.02

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.2,,,
Horizontal Delay,0,,,
Sample Interval,0.0002,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,10,10,10,10
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.05,0.05,0.05,1
Vertical Position,0,0,0,0
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-9.686000e-01,-0.00216406,-0.0121797,0.00145312,0.306406
-9.684000e-01,-0.00644531,-0.0356484,0.000835937,1.40688
-9.682000e-01,-0.00628906,-0.0318594,0.000570312,1.50141
-9.680000e-01,-0.00194531,-0.00626563,0.00121094,0.514531
-9.678000e-01,0.00194531,0.0241484,0.00201563,-0.809219
-9.676000e-01,0.00420313,0.0361641,0.00275781,-1.54469
-9.674000e-01,0.00335937,0.0257422,0.00269531,-1.13047
-9.672000e-01,-0.00186719,-0.00717188,0.00192187,0.114375
-9.670000e-01,-0.00664844,-0.0336484,0.000820312,1.30094
-9.668000e-01,-0.006375,-0.0336797,0.000804688,1.56375
-9.666000e-01,-0.00271094,-0.0113594,0.000828125,0.697187
-9.664000e-01,0.00116406,0.0209063,0.00209375,-0.6325
-9.662000e-01,0.00417188,0.0361406,0.00273438,-1.50672
-9.660000e-01,0.00391406,0.0282891,0.00276562,-1.25828
-9.658000e-01,-0.00110156,-0.00167969,0.00202344,-0.0821875
-9.656000e-01,-0.00603906,-0.0308203,0.0013125,1.17203
-9.654000e-01,-0.00614844,-0.0352891,0.000882813,1.60187
-9.652000e-01,-0.00326562,-0.0154609,0.000875,0.874688
-9.650000e-01,0.000703125,0.0173906,0.00202344,-0.449375
-9.648000e-01,0.00442188,0.0351953,0.00269531,-1.44406
-9.646000e-01,0.00467187,0.0300859,0.00294531,-1.36531
-9.644000e-01,-0.000359375,0.004,0.00261719,-0.276719
-9.642000e-01,-0.00513281,-0.0279219,0.00152344,1.02266
-9.640000e-01,-0.00646875,-0.0367031,0.000914063,1.61141
-9.638000e-01,-0.00428906,-0.01975,0.00103906,1.03422
-9.636000e-01,0.000382813,0.0132812,0.00204688,-0.260937
-9.634000e-01,0.00454687,0.03425,0.00295313,-1.35984
-9.632000e-01,0.00448438,0.0321484,0.00273438,-1.45047
-9.630000e-01,7.8125e-06,0.00923437,0.00238281,-0.465469
-9.628000e-01,-0.00422656,-0.0244766,0.00121094,0.859063
-9.626000e-01,-0.00620313,-0.0374844,0.000953125,1.59859
-9.624000e-01,-0.004875,-0.0236484,0.00129688,1.18312
-9.622000e-01,3.125e-05,0.00904687,0.00183594,-0.0629688
-9.620000e-01,0.00458594,0.03275,0.00294531,-1.24672
-9.618000e-01,0.00466406,0.0334922,0.00297656,-1.50938
-9.616000e-01,0.00102344,0.0141406,0.00328906,-0.647188
-9.614000e-01,-0.0030625,-0.0204922,0.00177344,0.682031
-9.612000e-01,-0.00632813,-0.0371797,0.00121875,1.5575
-9.610000e-01,-0.00550781,-0.0266875,0.00140625,1.31078
-9.608000e-01,-0.000289062,0.00466406,0.00191406,0.132188
-9.606000e-01,0.004125,0.0301797,0.00277344,-1.12
-9.604000e-01,0.00477344,0.0351875,0.00309375,-1.54609
-9.602000e-01,0.00217188,0.0187187,0.00303906,-0.8225
-9.600000e-01,-0.00240625,-0.0158828,0.00195312,0.49875
-9.598000e-01,-0.00617188,-0.0365078,0.00144531,1.49687
-9.596000e-01,-0.00607813,-0.0293203,0.00132813,1.41797
-9.594000e-01,-0.001125,-0.000820312,0.002,0.326094
-9.592000e-01,0.00288281,0.0278828,0.003125,-0.97125
-9.590000e-01,0.004125,0.0359609,0.00378125,-1.55656
-9.588000e-01,0.00290625,0.0229766,0.00365625,-0.983594
-9.586000e-01,-0.00219531,-0.0116484,0.00276562,0.31
-9.584000e-01,-0.00628906,-0.035125,0.00129688,1.40969
-9.582000e-01,-0.0063125,-0.0316328,0.00145312,1.50172
-9.580000e-01,-0.00182031,-0.00586719,0.00210156,0.516719
-9.578000e-01,0.00222656,0.0247969,0.00285937,-0.808281
-9.576000e-01,0.00435938,0.0366016,0.00347656,-1.54438
-9.574000e-01,0.00363281,0.0261484,0.00340625,-1.12875
-9.572000e-01,-0.00155469,-0.0069375,0.00269531,0.116094
-9.570000e-01,-0.006125,-0.0330703,0.00153125,1.30281
-9.568000e-01,-0.00595313,-0.0334844,0.00139844,1.56344
-9.566000e-01,-0.002375,-0.0106641,0.00159375,0.697969
-9.564000e-01,0.00157031,0.0216172,0.00276562,-0.632656
-9.562000e-01,0.00447656,0.0364531,0.00332812,-1.50594
-9.560000e-01,0.00435156,0.0285938,0.00344531,-1.25547
-9.558000e-01,-0.000742188,-0.00149219,0.00250781,-0.0807812
-9.556000e-01,-0.00557812,-0.0307891,0.00160156,1.17234
-9.554000e-01,-0.00597656,-0.0353203,0.00114844,1.60062
-9.552000e-01,-0.00307813,-0.0156328,0.00110938,0.872188
-9.550000e-01,0.0008125,0.0177969,0.00234375,-0.448594
-9.548000e-01,0.00475,0.0358047,0.00321094,-1.44375
-9.546000e-01,0.00480469,0.0308203,0.00324219,-1.3625
-9.544000e-01,-0.000234375,0.0041875,0.00242187,-0.274062
-9.542000e-01,-0.00461719,-0.0277891,0.00158594,1.02328
-9.540000e-01,-0.00598438,-0.0364609,0.00108594,1.61187
-9.538000e-01,-0.00385937,-0.0195781,0.00121875,1.03516
-9.536000e-01,0.000390625,0.0133906,0.00215625,-0.259219
-9.534000e-01,0.00448438,0.0345781,0.00323438,-1.35828
-9.532000e-01,0.00463281,0.0322187,0.00346094,-1.44922
-9.530000e-01,1.5625e-05,0.00945312,0.00310938,-0.464375
-9.528000e-01,-0.004,-0.0244531,0.00145312,0.859531
-9.526000e-01,-0.00632031,-0.0371406,0.00128125,1.59625
-9.524000e-01,-0.00510156,-0.0234453,0.0015625,1.18016
-9.522000e-01,-0.000421875,0.00924219,0.002,-0.06625
-9.520000e-01,0.0040625,0.0326953,0.00297656,-1.24938
-9.518000e-01,0.00425781,0.0336328,0.003125,-1.50906
-9.516000e-01,0.000640625,0.0139922,0.00289062,-0.64625
-9.514000e-01,-0.00317188,-0.0203047,0.00126563,0.684063
-9.512000e-01,-0.0065,-0.0370156,0.00114062,1.55953
-9.510000e-01,-0.00578125,-0.0268359,0.000875,1.30953
-9.508000e-01,-0.000765625,0.00441406,0.00174219,0.130156
-9.506000e-01,0.00353906,0.0301172,0.00276562,-1.11859
-9.504000e-01,0.00428125,0.0348203,0.0029375,-1.54563
-9.502000e-01,0.00157813,0.0185547,0.00320313,-0.820469
-9.500000e-01,-0.0026875,-0.0160547,0.00203125,0.499219
-9.498000e-01,-0.00661719,-0.0366328,0.00139844,1.49687
-9.496000e-01,-0.00610156,-0.029375,0.00136719,1.41656
-9.494000e-01,-0.00125,-0.000679688,0.001625,0.324688
-9.492000e-01,0.00290625,0.0275859,0.00252344,-0.970781
-9.490000e-01,0.00425781,0.0359844,0.00298438,-1.55766
-9.488000e-01,0.00257031,0.0226328,0.0030625,-0.982969
-9.486000e-01,-0.00234375,-0.0117656,0.002125,0.31125
-9.484000e-01,-0.00642188,-0.0352891,0.000929688,1.41031
-9.482000e-01,-0.00624219,-0.0313047,0.00110938,1.50078
-9.480000e-01,-0.00219531,-0.00607031,0.00149219,0.5125
-9.478000e-01,0.00189844,0.0246484,0.0025,-0.810469
-9.476000e-01,0.00423438,0.0363672,0.00288281,-1.54516
-9.474000e-01,0.00314844,0.0259141,0.00307813,-1.12938
-9.472000e-01,-0.00178125,-0.00732031,0.00209375,0.114375
-9.470000e-01,-0.00613281,-0.0337422,0.000984375,1.30031
-9.468000e-01,-0.00616406,-0.0336016,0.00101563,1.56219
-9.466000e-01,-0.00260156,-0.0114141,0.00149219,0.696719
