Model,MDO4024C
Firmware Version,1.02

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.1,,,
Horizontal Delay,0,,,
Sample Interval,0.0001,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,10,10,10,10
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.5,0.5,0.5,1
Vertical Position,2.08,-0.1,-2.04,-2.96
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-4.761000e-01,-0.0275,0.00320313,0.0397656,-0.533125
-4.760000e-01,-0.0300781,0.0059375,0.0395313,-0.53625
-4.759000e-01,-0.0276562,0.00484375,0.039375,-0.538438
-4.758000e-01,-0.0263281,0.00296875,0.0392969,-0.538438
-4.757000e-01,-0.0278906,0.003125,0.0396875,-0.540469
-4.756000e-01,-0.0291406,0.005,0.0395313,-0.541562
-4.755000e-01,-0.0265625,0.00453125,0.0395313,-0.54125
-4.754000e-01,-0.0259375,0.00234375,0.0391406,-0.5425
-4.753000e-01,-0.0276562,0.0028125,0.0392187,-0.545625
-4.752000e-01,-0.0305469,0.00484375,0.039375,-0.547188
-4.751000e-01,-0.028125,0.0053125,0.0397656,-0.548437
-4.750000e-01,-0.0235938,0.00382813,0.0399219,-0.550469
-4.749000e-01,-0.023125,0.00335938,0.0407031,-0.551719
-4.748000e-01,-0.0254687,0.004375,0.0410156,-0.552031
-4.747000e-01,-0.026875,0.005625,0.040625,-0.552344
-4.746000e-01,-0.0265625,0.00523437,0.0399219,-0.553594
-4.745000e-01,-0.0258594,0.00304688,0.0397656,-0.55625
-4.744000e-01,-0.0260938,0.0021875,0.0398437,-0.557813
-4.743000e-01,-0.0274219,0.003125,0.0400781,-0.557813
-4.742000e-01,-0.0292188,0.00492187,0.0400781,-0.558125
-4.741000e-01,-0.0278125,0.00515625,0.0405469,-0.558125
-4.740000e-01,-0.024375,0.00226563,0.0400781,-0.559844
-4.739000e-01,-0.0239844,0.000703125,0.0405469,-0.561094
-4.738000e-01,-0.0286719,0.0034375,0.040625,-0.558438
-4.737000e-01,-0.0317969,0.00671875,0.0404687,-0.5625
-4.736000e-01,-0.0289844,0.00578125,0.0404687,-0.561719
-4.735000e-01,-0.0252344,0.00257813,0.0408594,-0.563594
-4.734000e-01,-0.0258594,0.00179688,0.0407812,-0.564688
-4.733000e-01,-0.0292188,0.0040625,0.0403906,-0.564688
-4.732000e-01,-0.0291406,0.00476563,0.0401563,-0.566094
-4.731000e-01,-0.0265625,0.00351563,0.04,-0.564375
-4.730000e-01,-0.0271094,0.00171875,0.0398437,-0.564688
-4.729000e-01,-0.0288281,0.003125,0.0396875,-0.566094
-4.728000e-01,-0.0285937,0.00445313,0.039375,-0.567031
-4.727000e-01,-0.0259375,0.00304688,0.0399219,-0.567969
-4.726000e-01,-0.025625,0.00117188,0.0397656,-0.569531
-4.725000e-01,-0.0267969,0.00296875,0.0400781,-0.567969
-4.724000e-01,-0.03,0.00460937,0.039375,-0.568281
-4.723000e-01,-0.0292969,0.00515625,0.039375,-0.568437
-4.722000e-01,-0.0267969,0.003125,0.0392969,-0.571094
-4.721000e-01,-0.0253125,0.0021875,0.04,-0.570625
-4.720000e-01,-0.0272656,0.00398438,0.0399219,-0.572188
-4.719000e-01,-0.0292188,0.00492187,0.0402344,-0.571875
-4.718000e-01,-0.0271094,0.00414063,0.040625,-0.572344
-4.717000e-01,-0.0269531,0.001875,0.0398437,-0.57125
-4.716000e-01,-0.0278125,0.0021875,0.04,-0.571875
-4.715000e-01,-0.0285156,0.00359375,0.0405469,-0.572812
-4.714000e-01,-0.0280469,0.00414063,0.0401563,-0.573281
-4.713000e-01,-0.0270313,0.00351563,0.0403906,-0.571406
-4.712000e-01,-0.0284375,0.00304688,0.0398437,-0.572344
-4.711000e-01,-0.028125,0.00320313,0.0403906,-0.573281
-4.710000e-01,-0.0264844,0.00171875,0.0398437,-0.571875
-4.709000e-01,-0.024375,0.00171875,0.0396875,-0.5725
-4.708000e-01,-0.0264844,0.0025,0.04,-0.571719
-4.707000e-01,-0.0266406,0.0053125,0.0411719,-0.572031
-4.706000e-01,-0.0253125,0.00617188,0.04125,-0.571719
-4.705000e-01,-0.024375,0.00445313,0.0415625,-0.571719
-4.704000e-01,-0.0239063,0.00359375,0.0414844,-0.571875
-4.703000e-01,-0.0247656,0.00484375,0.0410938,-0.57
-4.702000e-01,-0.0257813,0.00640625,0.0405469,-0.570938
-4.701000e-01,-0.025625,0.00679688,0.0402344,-0.569375
-4.700000e-01,-0.0250781,0.00695313,0.0407031,-0.569844
-4.699000e-01,-0.0246094,0.00617188,0.0411719,-0.56875
-4.698000e-01,-0.0233594,0.00484375,0.0413281,-0.5675
-4.697000e-01,-0.0229687,0.00335938,0.0407812,-0.569219
-4.696000e-01,-0.0247656,0.00390625,0.0403906,-0.570312
-4.695000e-01,-0.02625,0.00632813,0.0404687,-0.567813
-4.694000e-01,-0.0280469,0.0065625,0.0401563,-0.567188
-4.693000e-01,-0.0248438,0.005,0.0408594,-0.567344
-4.692000e-01,-0.0235156,0.0028125,0.0409375,-0.566094
-4.691000e-01,-0.0257813,0.003125,0.0407812,-0.565313
-4.690000e-01,-0.0272656,0.00507813,0.0407812,-0.564219
-4.689000e-01,-0.0253125,0.00429687,0.0407812,-0.564531
-4.688000e-01,-0.025,0.00382813,0.0409375,-0.565625
-4.687000e-01,-0.0269531,0.00523437,0.0411719,-0.565781
-4.686000e-01,-0.0257813,0.00640625,0.0410938,-0.562813
-4.685000e-01,-0.0228906,0.00523437,0.0414844,-0.559687
-4.684000e-01,-0.0246875,0.00492187,0.0414062,-0.560313
-4.683000e-01,-0.0278906,0.00632813,0.0413281,-0.55875
-4.682000e-01,-0.0277344,0.00617188,0.0407812,-0.558594
-4.681000e-01,-0.0277344,0.00507813,0.0402344,-0.558594
-4.680000e-01,-0.0267188,0.00453125,0.0408594,-0.556094
-4.679000e-01,-0.0276562,0.00460937,0.0402344,-0.555313
-4.678000e-01,-0.0289844,0.00445313,0.0398437,-0.556094
-4.677000e-01,-0.0285156,0.00523437,0.0405469,-0.55125
-4.676000e-01,-0.0283594,0.00476563,0.0405469,-0.551563
-4.675000e-01,-0.0277344,0.0046875,0.0407812,-0.55
-4.674000e-01,-0.0275,0.00453125,0.0413281,-0.548437
-4.673000e-01,-0.0285156,0.00507813,0.0408594,-0.547969
-4.672000e-01,-0.0279688,0.00546875,0.0407812,-0.547031
-4.671000e-01,-0.0282813,0.00585938,0.0410156,-0.543906
-4.670000e-01,-0.0286719,0.005,0.0404687,-0.544375
-4.669000e-01,-0.028125,0.0046875,0.0403906,-0.540781
-4.668000e-01,-0.0289844,0.004375,0.0405469,-0.539688
-4.667000e-01,-0.0301563,0.00601563,0.0407031,-0.537031
-4.666000e-01,-0.0297656,0.00625,0.0408594,-0.536406
-4.665000e-01,-0.0282031,0.004375,0.0407031,-0.535313
-4.664000e-01,-0.0264844,0.00320313,0.0408594,-0.531875
-4.663000e-01,-0.0280469,0.00445313,0.0402344,-0.530469
-4.662000e-01,-0.0317188,0.00640625,0.0403906,-0.529688
-4.661000e-01,-0.0302344,0.00585938,0.040625,-0.531719
-4.660000e-01,-0.0289844,0.00351563,0.0402344,-0.525937
-4.659000e-01,-0.0300781,0.00398438,0.0400781,-0.523281
-4.658000e-01,-0.0330469,0.0065625,0.0400781,-0.523281
-4.657000e-01,-0.0325,0.00703125,0.0397656,-0.520469
-4.656000e-01,-0.0291406,0.00570313,0.0401563,-0.517656
-4.655000e-01,-0.0300781,0.00445313,0.0399219,-0.5175
-4.654000e-01,-0.0325,0.00625,0.0399219,-0.513281
-4.653000e-01,-0.0315625,0.00820312,0.0407031,-0.512344
-4.652000e-01,-0.0309375,0.00632813,0.0398437,-0.511406
-4.651000e-01,-0.0319531,0.005,0.0396094,-0.508906
-4.650000e-01,-0.0353125,0.00570313,0.0395313,-0.505937
-4.649000e-01,-0.0364844,0.00695313,0.0396875,-0.502813
-4.648000e-01,-0.0349219,0.00585938,0.04,-0.500781
-4.647000e-01,-0.0335938,0.004375,0.0403906,-0.498125
-4.646000e-01,-0.0353125,0.00414063,0.0395313,-0.497344
-4.645000e-01,-0.035,0.00539063,0.0403906,-0.493281
-4.644000e-01,-0.0332812,0.00539063,0.0402344,-0.490469
-4.643000e-01,-0.0322656,0.0053125,0.0400781,-0.490469
-4.642000e-01,-0.0357813,0.0071875,0.0401563,-0.484063
-4.641000e-01,-0.0380469,0.00867188,0.0403906,-0.485313
-4.640000e-01,-0.035625,0.00859375,0.0407812,-0.481406
-4.639000e-01,-0.0360938,0.00570313,0.0400781,-0.477656
-4.638000e-01,-0.0373438,0.00703125,0.0405469,-0.475625
-4.637000e-01,-0.0389844,0.00796875,0.0397656,-0.476562
-4.636000e-01,-0.0375,0.00789063,0.0400781,-0.472656
-4.635000e-01,-0.0379688,0.00609375,0.0398437,-0.471094
-4.634000e-01,-0.0394531,0.00664063,0.0396875,-0.46625
-4.633000e-01,-0.0391406,0.00835938,0.0403906,-0.465469
-4.632000e-01,-0.0382813,0.00757813,0.0401563,-0.461406
-4.631000e-01,-0.0375,0.00695313,0.0396875,-0.458594
-4.630000e-01,-0.04125,0.00859375,0.0390625,-0.4575
-4.629000e-01,-0.0435156,0.0105469,0.039375,-0.455
-4.628000e-01,-0.0403125,0.0102344,0.0402344,-0.45125
-4.627000e-01,-0.0382031,0.00710938,0.04,-0.449844
-4.626000e-01,-0.0382813,0.00734375,0.0401563,-0.448438
-4.625000e-01,-0.0421875,0.00851562,0.0398437,-0.445781
-4.624000e-01,-0.04125,0.0102344,0.0400781,-0.439844
-4.623000e-01,-0.0388281,0.00804688,0.0399219,-0.436875
-4.622000e-01,-0.0385937,0.00648438,0.0394531,-0.433281
-4.621000e-01,-0.0427344,0.00757813,0.0391406,-0.431875
-4.620000e-01,-0.0457812,0.0096875,0.0389844,-0.428438
-4.619000e-01,-0.0453125,0.00976562,0.0380469,-0.423906
-4.618000e-01,-0.0423438,0.0090625,0.0389063,-0.422188
-4.617000e-01,-0.0435937,0.0090625,0.0390625,-0.41625
-4.616000e-01,-0.0458594,0.0105469,0.0390625,-0.41375
-4.615000e-01,-0.0429688,0.0119531,0.0392187,-0.411094
-4.614000e-01,-0.0399219,0.0096875,0.0392187,-0.406875
-4.613000e-01,-0.0394531,0.00890625,0.04,-0.402344
