Model,MDO4024C
Firmware Version,1.02

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.2,,,
Horizontal Delay,0,,,
Sample Interval,0.0002,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,10,10,10,10
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.05,0.05,0.05,1
Vertical Position,0,0,0,0
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-9.618000e-01,-0.0109922,-0.065625,-0.000445313,1.51672
-9.616000e-01,-0.007875,-0.0482031,5.46875e-05,1.43953
-9.614000e-01,-0.000929688,-0.0110078,0.0006875,0.816875
-9.612000e-01,0.00576562,0.0272344,0.001625,-0.098125
-9.610000e-01,0.0106094,0.0560469,0.00263281,-0.971094
-9.608000e-01,0.0112891,0.0634844,0.00327344,-1.46719
-9.606000e-01,0.00833594,0.0511172,0.00396875,-1.39172
-9.604000e-01,0.00111719,0.0151328,0.00378906,-0.768594
-9.602000e-01,-0.00592188,-0.0265391,0.00289844,0.141875
-9.600000e-01,-0.0105156,-0.0593438,0.00167187,1.01578
-9.598000e-01,-0.0125156,-0.0681953,0.00123438,1.51672
-9.596000e-01,-0.00929687,-0.0500078,0.00157031,1.43813
-9.594000e-01,-0.0024375,-0.0114375,0.00253906,0.815
-9.592000e-01,0.0040625,0.0276172,0.00383594,-0.100625
-9.590000e-01,0.00851563,0.0565937,0.00461719,-0.972344
-9.588000e-01,0.0106719,0.0631406,0.00417969,-1.46672
-9.586000e-01,0.00914062,0.049875,0.00303906,-1.39078
-9.584000e-01,0.00272656,0.0153203,0.0018125,-0.766406
-9.582000e-01,-0.00432031,-0.0254219,0.00105469,0.143281
-9.580000e-01,-0.00896094,-0.0572656,0.000179687,1.01812
-9.578000e-01,-0.0108516,-0.0654375,3.125e-05,1.51578
-9.576000e-01,-0.00736719,-0.0478047,0.00015625,1.43875
-9.574000e-01,-0.000859375,-0.0109297,0.000945312,0.814375
-9.572000e-01,0.00624219,0.0268203,0.00175,-0.100625
-9.570000e-01,0.0101406,0.0558594,0.00247656,-0.973438
-9.568000e-01,0.0111719,0.0634766,0.00320313,-1.46953
-9.566000e-01,0.00838281,0.0508672,0.00379687,-1.3925
-9.564000e-01,0.000828125,0.0150469,0.00366406,-0.769219
-9.562000e-01,-0.00596875,-0.0263047,0.00279687,0.142656
-9.560000e-01,-0.0106484,-0.05925,0.0015625,1.015
-9.558000e-01,-0.0127422,-0.068,0.00116406,1.51609
-9.556000e-01,-0.00940625,-0.0500078,0.00105469,1.43797
-9.554000e-01,-0.00240625,-0.0111562,0.00252344,0.813281
